Albacore tuna Global,Europe,Trolling lines,39629,,34155,,32403,,26248,,32735,,28305,,35404,,30034,,33951,,30802,,33078,,20913,,30949,,24631,,28064,,25550,,22797,,30681,,24011,,17941,,15730,,24060,,26548,,18737,,20988,,9513,,13942,,17411,,23959,,23356,,13079,,10797,,12879,,12802,,11043,,10929,,11159,,11464,,11341,,10564,,10682,,9022,,7422,,6153,,6081,,10531,,6768,,8066,,5933,,6918,,5023,,4311,,4124,,5363,,7494,,10221,,10294,,6103,,5236,,4440,,7013,
Albacore tuna Global,Oceania,Gear not known,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,3,,5,,6,,7,,8,,9,,10,,11,,12,,13,,112,,98,,65,,70,,89,,104,,156,,133,,85,,76,,139,,199,,150,,130,,189,,215,,440,,147,,319,,421,,436,
Albacore tuna Global,Oceania,Longlines (nei),0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,4,,0,-,0,-,6,,9,,9,,21,,25,,2,,114,,174,,266,,317,,385,,953,,937,,1872,,1732,,1757,,1924,,3161,,5006,,5784,,7907,,12125,,16662,,13723,,20465,,27357,,33284,,32854,,37516,,35897,,43707,,37818,,31001,,35318,,45730,
Albacore tuna Global,Oceania,Mechanized lines and pole-and-lines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,0,-,392,,13,,28,,4,,0,-,1,,0,-,1,,245,,14,,17,,70,,79,,142,,31,,9,,9,,38,,80,,19,,7,,5,,6,,12,,23,,17,,12,,21,,14,
Albacore tuna Global,Oceania,Purse seines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,12,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,,2,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Albacore tuna Global,Oceania,Trolling lines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,5,,14,,0,-,50,,0,-,268,,484,,898,,646,,25,,621,,1686,,814,,1468,,2085,,2434,,744,,2773,,3253,,1911,,1256,,405,,4463,,2854,,2711,,3387,,3051,,4659,,5530,,5296,,2791,,4495,,1827,,3486,,2830,,3097,,4041,,3594,,2949,,2165,,1790,,3352,,1794,,1834,
Atlantic bluefin tuna Global,Africa,Gear not known,6365,,6410,,4690,,7018,,3917,,6399,,4603,,7070,,9239,,6563,,4814,,2377,,4852,,2678,,3032,,3255,,2755,,2615,,1974,,2286,,1039,,1006,,665,,529,,1652,,929,,914,,718,,817,,723,,675,,684,,1143,,884,,781,,814,,1294,,1500,,2025,,2217,,2603,,2532,,1694,,1702,,3889,,1871,,1834,,2212,,3647,,2793,,3209,,3979,,2829,,3603,,2127,,1839,,2034,,2547,,2838,,1911,,1348,
Atlantic bluefin tuna Global,Africa,Longlines (nei),0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,173,,164,,372,,67,,802,,865,,656,,925,,920,,900,,1795,,2094,,519,,172,,568,,1046,,548,,1020,,918,,34,,107,
Atlantic bluefin tuna Global,Africa,Mechanized lines and pole-and-lines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,10,,1,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Atlantic bluefin tuna Global,Africa,Purse seines,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,2539,,0,-,2286,,2994,,1628,,1419,,2059,,906,,1778,,2048,,453,,678,,406,,72,,532,,512,,592,,2664,,332,,680,,57,,321,,302,,204,,708,,297,,229,,213,,231,,148,,153,,94,,297,,1296,,1737,,2589,,3206,,2570,,3068,,2852,,3484,,4223,,4074,,3499,,4516,,1912,,4968,,5481,,4714,,4983,,4030,,3347,,1785,
